Episode,Reward
0,-80.3012
1,-80.6554
2,-79.8071
3,-80.4282
4,-80.8602
5,-79.8833
6,-79.9347
7,-80.6814
8,-79.6213
9,-80.3198
10,-80.2508
11,-80.2632
12,-80.3379
13,-80.4141
14,-80.7968
15,-80.1641
16,-80.1619
17,-81.2401
18,-80.6571
19,-80.6113
20,-80.2284
21,-80.6253
22,-80.9938
23,-80.5754
24,-79.9821
25,-79.3785
26,-80.3092
27,-79.9699
28,-80.3916
29,-79.8281
30,-79.8789
31,-80.4012
32,-80.4836
33,-80.3816
34,-79.9864
35,-80.8286
36,-80.8617
37,-80.611
38,-80.2447
39,-79.8323
